pathway	enzyme	ko_id	anygene_name
37	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	K00161	PDHA
38	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	K00162	PDHB
39	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	K00627	DLAT
40	Glycolysis / Gluconeogenesis [PATH:ko00010]	dihydrolipoamide dehydrogenase [EC:1.8.1.4]	K00382	DLD
41	Glycolysis / Gluconeogenesis [PATH:ko00010]	dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex	K13997	PDHX
42	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	K00169	porA
43	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	K00170	porB
44	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	K00172	porG
45	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	K00171	porD
46	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	K03737	por
47	Glycolysis / Gluconeogenesis [PATH:ko00010]	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	K00174	korA
48	Glycolysis / Gluconeogenesis [PATH:ko00010]	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	K00175	korB
49	Glycolysis / Gluconeogenesis [PATH:ko00010]	L-lactate dehydrogenase [EC:1.1.1.27]	K00016	LDH
50	Glycolysis / Gluconeogenesis [PATH:ko00010]	pyruvate decarboxylase [EC:4.1.1.1]	K01568	PDC
51	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase 1/7 [EC:1.1.1.1]	K13951	ADH1_7
52	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase 4 [EC:1.1.1.1]	K13980	ADH4
53	Glycolysis / Gluconeogenesis [PATH:ko00010]	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	K00121	frmA
54	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase 6 [EC:1.1.1.1]	K13952	ADH6
55	Glycolysis / Gluconeogenesis [PATH:ko00010]	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	K04072	adhE
56	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]	K13953	adhP
57	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase [EC:1.1.1.1]	K13954	yiaY
58	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase class-P [EC:1.1.1.1]	K18857	ADH1
59	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase [EC:1.1.1.1]	K00001	E1.1.1.1
60	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	K00002	AKR1A1
61	Glycolysis / Gluconeogenesis [PATH:ko00010]	methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	K14028	mdh1
62	Glycolysis / Gluconeogenesis [PATH:ko00010]	methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	K14029	mdh2
63	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	K00114	exaA
64	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase	K04022	eutG
65	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase (quinone), dehydrogenase subunit [EC:1.1.5.5]	K22473	adhA
66	Glycolysis / Gluconeogenesis [PATH:ko00010]	alcohol dehydrogenase (quinone), cytochrome c subunit [EC:1.1.5.5]	K22474	adhB
67	Glycolysis / Gluconeogenesis [PATH:ko00010]	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	K00128	ALDH
68	Glycolysis / Gluconeogenesis [PATH:ko00010]	aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]	K14085	ALDH7A1
69	Glycolysis / Gluconeogenesis [PATH:ko00010]	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]	K00149	ALDH9A1
70	Glycolysis / Gluconeogenesis [PATH:ko00010]	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	K00129	E1.2.1.5
71	Glycolysis / Gluconeogenesis [PATH:ko00010]	aldehyde dehydrogenase [EC:1.2.1.-]	K00138	aldB
72	Glycolysis / Gluconeogenesis [PATH:ko00010]	acetyl-CoA synthetase [EC:6.2.1.1]	K01895	ACSS
73	Glycolysis / Gluconeogenesis [PATH:ko00010]	acetate---CoA ligase [EC:6.2.1.1]	K01913	AAE7
74	Glycolysis / Gluconeogenesis [PATH:ko00010]	acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13]	K01905	acdA
75	Glycolysis / Gluconeogenesis [PATH:ko00010]	acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]	K22224	acdB
76	Glycolysis / Gluconeogenesis [PATH:ko00010]	aldose 1-epimerase [EC:5.1.3.3]	K01785	galM
77	Glycolysis / Gluconeogenesis [PATH:ko00010]	glucose-1-phosphatase [EC:3.1.3.10]	K01085	agp
78	Glycolysis / Gluconeogenesis [PATH:ko00010]	glucose-1-phosphatase [EC:3.1.3.10]	K20866	yihX
79	Glycolysis / Gluconeogenesis [PATH:ko00010]	phosphoglucomutase [EC:5.4.2.2]	K01835	pgm
80	Glycolysis / Gluconeogenesis [PATH:ko00010]	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]	K15778	pmm-pgm
81	Glycolysis / Gluconeogenesis [PATH:ko00010]	phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	K15779	PGM2
82	Glycolysis / Gluconeogenesis [PATH:ko00010]	glucose-6-phosphatase [EC:3.1.3.9]	K01084	G6PC
83	Glycolysis / Gluconeogenesis [PATH:ko00010]	polyphosphate glucokinase [EC:2.7.1.63]	K00886	ppgK
84	Glycolysis / Gluconeogenesis [PATH:ko00010]	ADP-dependent glucokinase [EC:2.7.1.147]	K08074	ADPGK
85	Glycolysis / Gluconeogenesis [PATH:ko00010]	glucose-6-phosphate 1-epimerase [EC:5.1.3.15]	K01792	E5.1.3.15
86	Glycolysis / Gluconeogenesis [PATH:ko00010]	bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]	K01837	BPGM
87	Glycolysis / Gluconeogenesis [PATH:ko00010]	multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.3.62 3.1.3.80]	K03103	MINPP1
88	Glycolysis / Gluconeogenesis [PATH:ko00010]	glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]	K11389	gapor
89	Glycolysis / Gluconeogenesis [PATH:ko00010]	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	K00131	gapN
90	Glycolysis / Gluconeogenesis [PATH:ko00010]	glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]	K18978	gapN
91	Glycolysis / Gluconeogenesis [PATH:ko00010]	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	K01596	E4.1.1.32
92	Glycolysis / Gluconeogenesis [PATH:ko00010]	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	K01610	E4.1.1.49
93	Glycolysis / Gluconeogenesis [PATH:ko00010]	6-phospho-beta-glucosidase [EC:3.2.1.86]	K01222	E3.2.1.86A
94	Glycolysis / Gluconeogenesis [PATH:ko00010]	6-phospho-beta-glucosidase [EC:3.2.1.86]	K01223	E3.2.1.86B
95	Glycolysis / Gluconeogenesis [PATH:ko00010]	PTS system, sugar-specific IIA component [EC:2.7.1.-]	K02777	PTS-Glc-EIIA
96	Glycolysis / Gluconeogenesis [PATH:ko00010]	PTS system, glucose-specific IIB component [EC:2.7.1.199]	K02778	PTS-Glc-EIIB
97	Glycolysis / Gluconeogenesis [PATH:ko00010]	PTS system, glucose-specific IIC component	K02779	PTS-Glc-EIIC
98	Glycolysis / Gluconeogenesis [PATH:ko00010]	PTS system, maltose/glucose-specific IIB component [EC:2.7.1.199 2.7.1.208]	K02790	PTS-MalGlc-EIIB
99	Glycolysis / Gluconeogenesis [PATH:ko00010]	PTS system, maltose/glucose-specific IIC component	K02791	PTS-MalGlc-EIIC
100	Glycolysis / Gluconeogenesis [PATH:ko00010]	PTS system, glucose-specific IIA component [EC:2.7.1.199]	K20116	PTS-Glc1-EIIA
101	Glycolysis / Gluconeogenesis [PATH:ko00010]	PTS system, glucose-specific IIB component [EC:2.7.1.199]	K20117	PTS-Glc1-EIIB
102	Glycolysis / Gluconeogenesis [PATH:ko00010]	PTS system, glucose-specific IIC component	K20118	PTS-Glc1-EIIC
103	Glycolysis / Gluconeogenesis [PATH:ko00010]	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific IIB component [EC:2.7.1.-]	K02752	PTS-Asc-EIIB
104	Glycolysis / Gluconeogenesis [PATH:ko00010]	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific IIC component	K02753	PTS-Asc-EIIC
105	Citrate cycle (TCA cycle) [PATH:ko00020]	citrate synthase [EC:2.3.3.1]	K01647	CS
106	Citrate cycle (TCA cycle) [PATH:ko00020]	ATP citrate (pro-S)-lyase [EC:2.3.3.8]	K01648	ACLY
107	Citrate cycle (TCA cycle) [PATH:ko00020]	ATP-citrate lyase alpha-subunit [EC:2.3.3.8]	K15230	aclA
108	Citrate cycle (TCA cycle) [PATH:ko00020]	ATP-citrate lyase beta-subunit [EC:2.3.3.8]	K15231	aclB
109	Citrate cycle (TCA cycle) [PATH:ko00020]	citrate (Re)-synthase [EC:2.3.3.3]	K05942	E2.3.3.3
110	Citrate cycle (TCA cycle) [PATH:ko00020]	aconitate hydratase [EC:4.2.1.3]	K01681	ACO
111	Citrate cycle (TCA cycle) [PATH:ko00020]	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99]	K01682	acnB
112	Citrate cycle (TCA cycle) [PATH:ko00020]	isocitrate dehydrogenase [EC:1.1.1.42]	K00031	IDH1
113	Citrate cycle (TCA cycle) [PATH:ko00020]	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	K00030	IDH3
114	Citrate cycle (TCA cycle) [PATH:ko00020]	isocitrate--homoisocitrate dehydrogenase [EC:1.1.1.286]	K17753	HICDH
115	Citrate cycle (TCA cycle) [PATH:ko00020]	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	K00164	OGDH
116	Citrate cycle (TCA cycle) [PATH:ko00020]	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]	K00658	DLST
117	Citrate cycle (TCA cycle) [PATH:ko00020]	dihydrolipoamide dehydrogenase [EC:1.8.1.4]	K00382	DLD
118	Citrate cycle (TCA cycle) [PATH:ko00020]	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	K00174	korA
119	Citrate cycle (TCA cycle) [PATH:ko00020]	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	K00175	korB
120	Citrate cycle (TCA cycle) [PATH:ko00020]	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	K00177	korC
121	Citrate cycle (TCA cycle) [PATH:ko00020]	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	K00176	korD
122	Citrate cycle (TCA cycle) [PATH:ko00020]	succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]	K01902	sucD
123	Citrate cycle (TCA cycle) [PATH:ko00020]	succinyl-CoA synthetase beta subunit [EC:6.2.1.5]	K01903	sucC
124	Citrate cycle (TCA cycle) [PATH:ko00020]	succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]	K01899	LSC1
125	Citrate cycle (TCA cycle) [PATH:ko00020]	succinyl-CoA synthetase beta subunit [EC:6.2.1.4 6.2.1.5]	K01900	LSC2
126	Citrate cycle (TCA cycle) [PATH:ko00020]	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]	K18118	aarC
127	Citrate cycle (TCA cycle) [PATH:ko00020]	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]	K00234	SDHA
128	Citrate cycle (TCA cycle) [PATH:ko00020]	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]	K00235	SDHB
129	Citrate cycle (TCA cycle) [PATH:ko00020]	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit	K00236	SDHC
130	Citrate cycle (TCA cycle) [PATH:ko00020]	succinate dehydrogenase (ubiquinone) membrane anchor subunit	K00237	SDHD
131	Citrate cycle (TCA cycle) [PATH:ko00020]	succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	K00239	sdhA
132	Citrate cycle (TCA cycle) [PATH:ko00020]	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	K00240	sdhB
133	Citrate cycle (TCA cycle) [PATH:ko00020]	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	K00241	sdhC
134	Citrate cycle (TCA cycle) [PATH:ko00020]	succinate dehydrogenase / fumarate reductase, membrane anchor subunit	K00242	sdhD
135	Citrate cycle (TCA cycle) [PATH:ko00020]	succinate dehydrogenase / fumarate reductase, subunit D	K18859	sdhD
136	Citrate cycle (TCA cycle) [PATH:ko00020]	putative succinate dehydrogenase / fumarate reductase, subunit D	K18860	sdhD
137	Citrate cycle (TCA cycle) [PATH:ko00020]	fumarate reductase flavoprotein subunit [EC:1.3.5.4]	K00244	frdA
138	Citrate cycle (TCA cycle) [PATH:ko00020]	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	K00245	frdB
139	Citrate cycle (TCA cycle) [PATH:ko00020]	fumarate reductase subunit C	K00246	frdC
140	Citrate cycle (TCA cycle) [PATH:ko00020]	fumarate reductase subunit D	K00247	frdD
141	Citrate cycle (TCA cycle) [PATH:ko00020]	fumarate hydratase, class I [EC:4.2.1.2]	K01676	E4.2.1.2A
142	Citrate cycle (TCA cycle) [PATH:ko00020]	fumarate hydratase subunit alpha [EC:4.2.1.2]	K01677	E4.2.1.2AA
143	Citrate cycle (TCA cycle) [PATH:ko00020]	fumarate hydratase subunit beta [EC:4.2.1.2]	K01678	E4.2.1.2AB
144	Citrate cycle (TCA cycle) [PATH:ko00020]	fumarate hydratase, class II [EC:4.2.1.2]	K01679	E4.2.1.2B
145	Citrate cycle (TCA cycle) [PATH:ko00020]	malate dehydrogenase [EC:1.1.1.37]	K00025	MDH1
146	Citrate cycle (TCA cycle) [PATH:ko00020]	malate dehydrogenase [EC:1.1.1.37]	K00026	MDH2
147	Citrate cycle (TCA cycle) [PATH:ko00020]	malate dehydrogenase [EC:1.1.1.37]	K00024	mdh
148	Citrate cycle (TCA cycle) [PATH:ko00020]	malate dehydrogenase (quinone) [EC:1.1.5.4]	K00116	mqo
149	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate carboxylase [EC:6.4.1.1]	K01958	PC
150	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate carboxylase subunit A [EC:6.4.1.1]	K01959	pycA
151	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate carboxylase subunit B [EC:6.4.1.1]	K01960	pycB
152	Citrate cycle (TCA cycle) [PATH:ko00020]	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	K01610	E4.1.1.49
153	Citrate cycle (TCA cycle) [PATH:ko00020]	phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]	K01596	E4.1.1.32
154	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	K00163	aceE
155	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	K00161	PDHA
156	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	K00162	PDHB
157	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]	K00627	DLAT
158	Citrate cycle (TCA cycle) [PATH:ko00020]	dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex	K13997	PDHX
159	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	K00169	porA
160	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	K00170	porB
161	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	K00172	porG
162	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	K00171	porD
163	Citrate cycle (TCA cycle) [PATH:ko00020]	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	K03737	por
164	Pentose phosphate pathway [PATH:ko00030]	glucose-6-phosphate isomerase [EC:5.3.1.9]	K01810	GPI
165	Pentose phosphate pathway [PATH:ko00030]	glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]	K06859	pgi1
166	Pentose phosphate pathway [PATH:ko00030]	transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]	K13810	tal-pgi
167	Pentose phosphate pathway [PATH:ko00030]	glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]	K15916	pgi-pmi
168	Pentose phosphate pathway [PATH:ko00030]	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	K00036	G6PD
169	Pentose phosphate pathway [PATH:ko00030]	NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]	K19243	azf
170	Pentose phosphate pathway [PATH:ko00030]	6-phosphogluconolactonase [EC:3.1.1.31]	K01057	PGLS
171	Pentose phosphate pathway [PATH:ko00030]	6-phosphogluconolactonase [EC:3.1.1.31]	K07404	pgl
172	Pentose phosphate pathway [PATH:ko00030]	hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31]	K13937	H6PD
173	Pentose phosphate pathway [PATH:ko00030]	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033	PGD
174	Pentose phosphate pathway [PATH:ko00030]	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	K01783	rpe
175	Pentose phosphate pathway [PATH:ko00030]	transketolase [EC:2.2.1.1]	K00615	E2.2.1.1
176	Pentose phosphate pathway [PATH:ko00030]	transaldolase [EC:2.2.1.2]	K00616	E2.2.1.2
177	Pentose phosphate pathway [PATH:ko00030]	ribose 5-phosphate isomerase A [EC:5.3.1.6]	K01807	rpiA
178	Pentose phosphate pathway [PATH:ko00030]	ribose 5-phosphate isomerase B [EC:5.3.1.6]	K01808	rpiB
179	Pentose phosphate pathway [PATH:ko00030]	bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43]	K13812	fae-hps
180	Pentose phosphate pathway [PATH:ko00030]	3-hexulose-6-phosphate synthase [EC:4.1.2.43]	K08093	hxlA
181	Pentose phosphate pathway [PATH:ko00030]	6-phospho-3-hexuloisomerase [EC:5.3.1.27]	K08094	hxlB
182	Pentose phosphate pathway [PATH:ko00030]	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27]	K13831	hps-phi
183	Pentose phosphate pathway [PATH:ko00030]	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]	K01621	xfp
184	Pentose phosphate pathway [PATH:ko00030]	deoxyribose-phosphate aldolase [EC:4.1.2.4]	K01619	deoC
185	Pentose phosphate pathway [PATH:ko00030]	ribokinase [EC:2.7.1.15]	K00852	rbsK
186	Pentose phosphate pathway [PATH:ko00030]	phosphopentomutase [EC:5.4.2.7]	K01839	deoB
187	Pentose phosphate pathway [PATH:ko00030]	phosphopentomutase [EC:5.4.2.7]	K22199	ppm
188	Pentose phosphate pathway [PATH:ko00030]	phosphoglucomutase [EC:5.4.2.2]	K01835	pgm
189	Pentose phosphate pathway [PATH:ko00030]	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]	K15778	pmm-pgm
190	Pentose phosphate pathway [PATH:ko00030]	phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]	K15779	PGM2
191	Pentose phosphate pathway [PATH:ko00030]	ribose 1,5-bisphosphokinase [EC:2.7.4.23]	K05774	phnN
192	Pentose phosphate pathway [PATH:ko00030]	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	K00948	PRPS
193	Pentose phosphate pathway [PATH:ko00030]	phosphogluconate dehydratase [EC:4.2.1.12]	K01690	edd
194	Pentose phosphate pathway [PATH:ko00030]	2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	K01625	eda
195	Pentose phosphate pathway [PATH:ko00030]	2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14]	K17463	dgaF
196	Pentose phosphate pathway [PATH:ko00030]	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]	K11395	kdpgA
197	Pentose phosphate pathway [PATH:ko00030]	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	K00131	gapN
