func_id	pathway	enzyme
K00203	Methane metabolism [PATH:ko00680]	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
K00205	Methane metabolism [PATH:ko00680]	4Fe-4S ferredoxin
K00207	Drug metabolism - other enzymes [PATH:ko00983]	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00208	Prodigiosin biosynthesis [PATH:ko00333]	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	Fatty acid biosynthesis [PATH:ko00061]	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00210	Novobiocin biosynthesis [PATH:ko00401]	prephenate dehydrogenase [EC:1.3.1.12]
K00211	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00213	Steroid biosynthesis [PATH:ko00100]	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	Porphyrin and chlorophyll metabolism [PATH:ko00860]	biliverdin reductase [EC:1.3.1.24]
K00215	Monobactam biosynthesis [PATH:ko00261]	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	Biosynthesis of siderophore group nonribosomal peptides [PATH:ko01053]	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]"
K00217	Toluene degradation [PATH:ko00623]	maleylacetate reductase [EC:1.3.1.32]
K00218	Porphyrin and chlorophyll metabolism [PATH:ko00860]	protochlorophyllide reductase [EC:1.3.1.33]
K00219	Other	Other
K00220	Novobiocin biosynthesis [PATH:ko00401]	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
K00221	Other	Other
K00222	Steroid biosynthesis [PATH:ko00100]	Delta14-sterol reductase [EC:1.3.1.70]
K00223	Steroid biosynthesis [PATH:ko00100]	Delta24(24(1))-sterol reductase [EC:1.3.1.71]
K00225	Ascorbate and aldarate metabolism [PATH:ko00053]	"L-galactono-1,4-lactone dehydrogenase [EC:1.3.2.3]"
K00226	Pyrimidine metabolism [PATH:ko00240]	dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]
K00227	Steroid biosynthesis [PATH:ko00100]	Delta7-sterol 5-desaturase [EC:1.14.19.20]
K00228	Porphyrin and chlorophyll metabolism [PATH:ko00860]	coproporphyrinogen III oxidase [EC:1.3.3.3]
K00230	Porphyrin and chlorophyll metabolism [PATH:ko00860]	menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]
K00231	Porphyrin and chlorophyll metabolism [PATH:ko00860]	protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K00232	Peroxisome [PATH:ko04146]	acyl-CoA oxidase [EC:1.3.3.6]
K00234	Oxidative phosphorylation [PATH:ko00190]	succinate dehydrogenase (ubiquinone) flavoprotein subunit [EC:1.3.5.1]
K00235	Oxidative phosphorylation [PATH:ko00190]	succinate dehydrogenase (ubiquinone) iron-sulfur subunit [EC:1.3.5.1]
K00236	Oxidative phosphorylation [PATH:ko00190]	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	Oxidative phosphorylation [PATH:ko00190]	succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	Carbon fixation pathways in prokaryotes [PATH:ko00720]	"succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"
K00240	Carbon fixation pathways in prokaryotes [PATH:ko00720]	"succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"
K00241	Carbon fixation pathways in prokaryotes [PATH:ko00720]	"succinate dehydrogenase / fumarate reductase, cytochrome b subunit"
K00242	Carbon fixation pathways in prokaryotes [PATH:ko00720]	"succinate dehydrogenase / fumarate reductase, membrane anchor subunit"
K00243	Other	Other
K00244	Two-component system [PATH:ko02020]	fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00245	Two-component system [PATH:ko02020]	fumarate reductase iron-sulfur subunit [EC:1.3.5.4]
K00246	Two-component system [PATH:ko02020]	fumarate reductase subunit C
K00247	Two-component system [PATH:ko02020]	fumarate reductase subunit D
K00248	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	butyryl-CoA dehydrogenase [EC:1.3.8.1]
K00249	beta-Alanine metabolism [PATH:ko00410]	acyl-CoA dehydrogenase [EC:1.3.8.7]
K00252	Benzoate degradation [PATH:ko00362]	glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K00253	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K00254	Pyrimidine metabolism [PATH:ko00240]	dihydroorotate dehydrogenase [EC:1.3.5.2]
K00255	Fatty acid degradation [PATH:ko00071]	long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]
K00256	Other	Other
K00257	Other	Other
K00259	Taurine and hypotaurine metabolism [PATH:ko00430]	alanine dehydrogenase [EC:1.4.1.1]
K00260	Taurine and hypotaurine metabolism [PATH:ko00430]	glutamate dehydrogenase [EC:1.4.1.2]
K00261	Necroptosis [PATH:ko04217]	glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K00262	Arginine biosynthesis [PATH:ko00220]	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K00263	"Valine, leucine and isoleucine biosynthesis [PATH:ko00290]"	leucine dehydrogenase [EC:1.4.1.9]
K00264	"Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	glutamate synthase (NADH) [EC:1.4.1.14]
K00265	"Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	glutamate synthase (NADPH) large chain [EC:1.4.1.13]
K00266	"Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	glutamate synthase (NADPH) small chain [EC:1.4.1.13]
K00270	"Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"	phenylalanine dehydrogenase [EC:1.4.1.20]
K00271	"Valine, leucine and isoleucine degradation [PATH:ko00280]"	valine dehydrogenase (NAD+) [EC:1.4.1.23]
K00272	Peroxisome [PATH:ko04146]	D-aspartate oxidase [EC:1.4.3.1]
K00273	Peroxisome [PATH:ko04146]	D-amino-acid oxidase [EC:1.4.3.3]
K00274	Drug metabolism - cytochrome P450 [PATH:ko00982]	monoamine oxidase [EC:1.4.3.4]
K00275	Vitamin B6 metabolism [PATH:ko00750]	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
K00276	"Tropane, piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]"	primary-amine oxidase [EC:1.4.3.21]
K00278	Nicotinate and nicotinamide metabolism [PATH:ko00760]	L-aspartate oxidase [EC:1.4.3.16]
K00279	Zeatin biosynthesis [PATH:ko00908]	cytokinin dehydrogenase [EC:1.5.99.12]
K00280	Other	Other
K00281	"Glycine, serine and threonine metabolism [PATH:ko00260]"	glycine dehydrogenase [EC:1.4.4.2]
K00282	"Glycine, serine and threonine metabolism [PATH:ko00260]"	glycine dehydrogenase subunit 1 [EC:1.4.4.2]
K00283	"Glycine, serine and threonine metabolism [PATH:ko00260]"	glycine dehydrogenase subunit 2 [EC:1.4.4.2]
K00284	Nitrogen metabolism [PATH:ko00910]	glutamate synthase (ferredoxin) [EC:1.4.7.1]
K00285	Phenylalanine metabolism [PATH:ko00360]	D-amino-acid dehydrogenase [EC:1.4.5.1]
K00286	Arginine and proline metabolism [PATH:ko00330]	pyrroline-5-carboxylate reductase [EC:1.5.1.2]
K00287	One carbon pool by folate [PATH:ko00670]	dihydrofolate reductase [EC:1.5.1.3]
K00288	One carbon pool by folate [PATH:ko00670]	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase / formyltetrahydrofolate synthetase [EC:1.5.1.5 3.5.4.9 6.3.4.3]
K00289	One carbon pool by folate [PATH:ko00670]	formyltetrahydrofolate dehydrogenase [EC:1.5.1.6]
K00290	Lysine degradation [PATH:ko00310]	"saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]"
K00292	Other	Other
K00293	Lysine degradation [PATH:ko00310]	"saccharopine dehydrogenase (NADP+, L-glutamate forming) [EC:1.5.1.10]"
K00294	Arginine and proline metabolism [PATH:ko00330]	1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K00295	One carbon pool by folate [PATH:ko00670]	methylenetetrahydrofolate dehydrogenase (NAD+) [EC:1.5.1.15]
K00297	One carbon pool by folate [PATH:ko00670]	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]
K00298	Other	Other
K00299	Riboflavin metabolism [PATH:ko00740]	FMN reductase [EC:1.5.1.38]
K00301	"Glycine, serine and threonine metabolism [PATH:ko00260]"	sarcosine oxidase [EC:1.5.3.1]
K00302	"Glycine, serine and threonine metabolism [PATH:ko00260]"	"sarcosine oxidase, subunit alpha [EC:1.5.3.1]"
